transaction_date,house_age,distance_to_mrt,convenience_stores,latitude,longitude,price_per_unit_area
2012.5293729590867,31.002791123596694,565.8421364387158,3,25.05080658698085,121.41047461684768,42.971830145152936
2012.3340949183598,23.62536311300499,479.2972082942562,6,25.009809063960926,121.43014422507301,49.77854626462796
2014.215741159372,16.55727232704735,225.17898786575333,4,24.947831340107797,121.44081290321584,54.75560250035861
2013.832473651398,13.98391648230822,1907.2859633601297,0,25.021686437212303,121.48944233737691,22.814322361778412
2014.5076550526594,10.339738956057221,146.89195440659594,4,24.96098132700536,121.4897882828274,46.822672598833016
2013.7215359060738,3.491415593901781,980.172204157898,2,25.006720706369432,121.50799358193899,45.20767696749561
2014.8661466522128,1.7981388964540068,1490.9009369827772,1,24.926535389842417,121.49347293967334,35.464681280446726
2012.439869428593,30.601999023318132,281.19349068972673,9,24.904230400939973,121.49309800750788,52.06334691341737
2013.9457903744112,8.01930759520124,304.73071420773994,9,24.994779972809557,121.40838284455235,62.3112936891709
2013.4074003109163,25.47961525977399,1364.59253952571,1,24.91274884051091,121.5191951982493,37.323813601322755
2012.772162727084,16.248564560337606,722.8267267834569,4,24.904242922164695,121.50030934401805,49.8504627334925
2014.8755458819264,0.3384607635732362,683.9110597910131,4,24.967372905126823,121.52083698549005,49.9337978464658
2014.6272380490789,17.945152338467487,101.85080090896433,7,25.086968298809214,121.56411815898343,60.76402405473494
2012.9371634366062,5.112581436885351,542.2539301384112,9,24.925504891333908,121.55668952383179,67.1753089585094
2013.3696419689823,4.018232231912644,257.255811987405,6,25.024853127292356,121.54501151768785,59.43514866022924
2014.607161358831,28.394491969099953,2101.513384459891,5,25.080567673387403,121.42110288561085,27.234167292871454
2014.8856929936485,34.47300397766972,1855.7233040828544,5,25.060265409009205,121.50188551977735,37.3562996953844
2012.4828422707446,21.363200439541185,2246.018589880775,6,24.90347658021946,121.48836243092198,32.40816089882638
2012.7551319252484,28.503034573973256,309.8110397498286,3,24.958579074612853,121.49449684839743,49.4577611954729
2012.7900270762068,23.75224826101793,427.72568618193503,3,24.950745447996628,121.48905433888518,49.354985204421595
2013.5365592608998,28.978873322921096,928.5982430651613,9,24.958709963888168,121.51332661794797,48.06222080615099
2014.246481001405,22.570548471001352,245.87131697537234,4,24.999262728969175,121.53006751125795,47.09823545635349
2012.722911725017,27.26443393349623,16.36391469167739,3,24.95806521413062,121.54374325649447,55.558710357865074
2013.2006360635298,18.59785934769006,619.2509352328572,6,24.926399692001194,121.40822153223327,49.923549311549316
2012.7390567253497,26.214196724605845,1010.874844527164,2,24.960202362671534,121.54143323888306,40.46641156008579
2013.6507190757247,28.185540757206176,1826.5947448236948,9,25.063635623190663,121.55728346310092,46.2767749417619
2014.0515340530023,24.144830511262075,258.08466282969675,3,24.965774140241844,121.48038543366955,45.4939788958587
2012.3289060373056,28.434927011714322,894.9743332626211,4,25.011599309532542,121.54791464646746,45.0532735300499
2014.444706777156,12.217671139709555,3508.2277935681755,1,24.916138782176848,121.54649628659797,21.889288829769946
2014.4359646045316,3.7338498272268783,473.35310068410047,4,24.94544689821787,121.48471024667893,48.445228841446266
2013.4029573573507,28.916264078597436,339.3366298002149,3,25.01384426274418,121.54540227390797,52.11426513294681
2013.4964867732804,9.019367453581989,407.127887055522,0,25.02423913517106,121.56219470170537,47.97589621209086
2013.635614703668,0.34858789306934757,996.1677327125967,8,24.98481056725674,121.5929426963299,57.43646779894247
2014.075871295349,39.30579009346632,269.17436224248115,4,25.06390271915051,121.5122067013208,47.04471690408962
2012.6069258565262,3.1270373217879754,839.2177664909192,4,25.05801438589533,121.46880057646148,50.216946676444636
2014.8196162676827,4.116118968945437,431.1986555173957,7,25.07308799839453,121.44774770677911,61.858066252228355
2014.4893692293972,14.654886196379614,349.57882043343375,2,24.98120415625402,121.57584484041094,48.771902070825874
2012.6046049261772,10.839339256629238,878.9919945225595,7,25.060014201461957,121.43684526102781,53.32420281368853
2013.4338397422196,13.906881226437878,101.61451908996287,9,25.097511211036927,121.46074335452177,68.43642734577611
2013.9799871564035,33.54548539154581,2003.8875088665868,8,24.983674009509322,121.47324851269491,45.026086231545
2014.5692288919672,30.33023128019444,126.50415333990239,4,24.914538697631993,121.40676922271791,50.03610462463719
2013.6860275241386,22.497184721352028,240.32389334395612,5,24.977002055424105,121.49890442428871,57.16824688242263
2013.5592609790876,18.434275051724093,127.08779830129666,7,24.90966827099521,121.5939292931538,56.7810884456455
2013.5859726143249,19.595511679729277,3310.4410719744315,3,25.06714132940641,121.43874296329439,22.539563720648157
2012.0032023950682,17.786198811655826,1841.58775010537,7,24.98295975725055,121.50190904719722,40.47135576086325
2014.5451422621832,32.2488232309932,2916.418777304774,9,25.004218433064324,121.40956037938413,33.447617637549655
2014.3917865768167,5.6764841331814475,178.53692765678602,6,25.0387622607743,121.57556702519159,59.63526819584483
2012.420747266996,18.957368563695756,2501.427954626259,8,24.987980667319654,121.41551295467988,35.39473960549371
2014.8742777374819,13.3454014850534,2245.0404709762142,1,25.027762398106525,121.50261912678447,30.360525693309278
2014.5697255314476,3.8122641807084046,597.5666607274455,8,25.059493332859784,121.57370154927978,61.39514546796862
2014.2024390372828,31.44145270583374,1324.5730864154348,6,25.081703436570212,121.49380138886534,42.14838004487219
